Subject ID,Bacteroides,Unclassified,Faecalibacterium,Prevotella,Blautia,Bifidobacterium,Roseburia,Parabacteroides,Subdoligranulum
N026832,3423,833,1490,0,288,448,141,399,892
N026838,5468,1052,516,6,468,3,490,199,325
N026982,1945,2478,1337,727,810,125,399,92,236
N027007,6517,606,28,1,144,211,161,656,48
N027144,5756,795,545,1,155,25,3,270,0
N027207,1583,403,251,4601,169,1,296,136,95
N027212,682,2244,1086,0,766,1988,269,412,379
N027290,3907,1042,488,124,283,19,1061,362,153
N027348,1325,2784,372,1,295,1358,73,144,1201
N027353,272,476,324,5932,96,188,116,253,64
N027510,2832,851,1001,1541,312,59,750,189,254
N027557,3005,893,875,0,891,556,80,170,66
N027618,201,3447,783,2701,584,194,436,10,185
N027630,560,1587,87,2966,440,90,154,62,15
N027711,2611,1173,458,0,397,1302,51,239,137
N027751,2213,1442,1820,2,1040,166,638,231,97
N027875,6888,722,223,0,248,1,41,239,75
N027901,3930,1200,358,0,210,210,554,447,698
N028101,264,416,155,6866,280,9,329,47,23
N028108,3234,1655,571,0,348,565,567,199,384
N028196,239,1171,913,4957,185,9,130,73,52
N028260,3766,1153,366,0,874,1184,239,182,246
N028387,4869,1253,518,0,683,459,62,289,277
N028388,2674,1551,337,1,139,568,733,206,103
N028435,4688,1878,496,0,256,729,237,138,323
N028509,304,1642,137,5363,165,4,80,75,431
N028559,3472,1107,1729,0,901,26,317,0,180
N028615,3215,1148,638,189,376,1245,62,176,660
N028646,2522,2015,1020,0,915,134,639,189,429
N028656,2723,1497,1066,0,511,586,686,24,240
N028657,1292,3683,96,0,143,1135,47,288,447
N028664,4316,1389,535,0,427,269,159,254,201
N028897,5142,1110,1163,2,607,72,0,715,16
N029083,4573,1991,170,5,248,618,77,508,1
N029157,3797,962,223,0,1008,2,94,170,138
N029348,1375,1253,1454,759,555,580,417,323,411
N029396,1756,1530,0,2437,203,129,7,1129,11
N029399,1131,742,548,4651,647,230,60,37,276
N029453,4467,627,1137,226,104,316,374,774,89
N029510,2306,2381,185,130,404,238,293,325,433
N029541,5371,791,612,0,790,5,0,477,0
N029675,4905,1384,125,1,458,1,295,108,246
N029689,2090,892,1783,0,1232,1028,123,49,381
N029845,5206,535,1,0,287,5,346,1092,0
N029861,681,650,373,4822,455,689,46,58,356
N029886,2956,1049,1353,0,1044,489,812,117,1
N029914,3413,1306,1527,1,412,315,275,418,0
N029962,3325,2377,904,0,378,179,202,0,628
N030002,1991,794,187,2371,167,108,106,358,89
N030074,611,1251,1164,3463,189,63,22,7,60
N030226,5555,493,1170,0,210,1160,0,148,0
N030233,1068,2518,2412,0,546,496,523,21,404
N030284,694,620,941,4706,216,181,163,265,190
N030321,3416,1596,1440,0,832,70,292,244,0
N030370,2735,1601,854,0,967,1294,296,83,275
N030381,4273,1008,1504,0,305,117,664,25,309
N030397,4371,1283,1415,0,144,168,278,137,75
N030472,866,2153,979,786,368,505,1195,62,205
N030569,5173,374,332,0,409,566,78,371,2
N030586,555,1735,543,3571,306,26,193,169,112
N030632,4323,1088,1209,0,83,362,104,286,878
N030752,397,1207,714,4008,443,207,363,210,159
N030909,4635,1424,1388,1,647,61,321,123,82
N030993,762,892,321,0,402,3953,381,56,87
N031006,4248,1646,630,3,104,151,728,347,233
N031031,1,3777,0,210,455,2362,0,0,0
N031091,2211,240,22,0,172,1108,148,171,141
N031214,694,2770,2386,1277,246,331,57,137,156
N031221,2871,2543,1358,0,307,174,654,63,147
N031372,5567,551,133,0,340,117,31,327,31
N031412,2150,1024,1427,0,1016,2254,128,397,674
N031449,2808,366,626,2801,1161,294,430,475,194
N031487,2893,1294,1239,5,130,1010,308,127,382
N031491,1690,1467,0,4,4773,11,436,708,0
N031544,4978,1649,0,0,742,284,6,729,0
N031567,475,3508,1700,101,201,177,1339,23,959
N031615,1295,1559,81,1900,718,165,441,367,177
N031751,4835,876,1897,0,260,78,464,121,3
N031814,2611,1218,3015,1,97,495,100,51,433
N031828,579,824,498,6299,593,10,80,89,25
N031911,7542,150,33,0,97,0,18,1315,4
